Holiday,Date
Bhogi,14-01-2024 00:00
Bonalu,25-07-2022 00:00
Bonalu,17-07-2023 00:00
Christmas,25-12-2023 00:00
Deepavali,24-10-2022 00:00
EID Ul Azha (Bakrid),29-06-2023 00:00
Eid Ul Fitr (Ramzan),03-05-2022 00:00
Gandhi Jayanthi,02-10-2023 00:00
Good Friday,15-04-2022 00:00
Good Friday,01-04-2023 00:00
Holis,18-03-2022 00:00
Independence Day,15-08-2022 00:00
Independence Day,15-08-2023 00:00
Republic Day,26-01-2022 00:00
Republic Day,26-01-2023 00:00
Ugadi,22-03-2023 00:00
Vijaya Dasami,05-10-2022 00:00
Vijaya Dasami,24-10-2023 00:00
Vinayaka Chavithi,31-08-2022 00:00
Vinayaka Chavithi,08-09-2023 00:00
